Country,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Generosity,Corruption,Dystopia,Job Satisfaction,Region
Zimbabwe,138,3.875,0.375846535,1.083095908,0.196763754,0.33638420700000005,0.189143494,0.095375381,1.597970247,56.3,africa
Egypt,104,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.128631443,0.114381365,1.7021610740000002,75.1,africa
Senegal,115,4.534999847,0.479309022,1.179691911,0.409362853,0.377922267,0.183468893,0.115460448,1.789646149,54.7,africa
Botswana,142,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,0.377913713,56.1,africa
Cameroon,107,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,0.051306631,2.333645582,64.9,africa
South Africa,101,4.828999996,1.054698706,1.3847886319999998,0.18708007,0.479246736,0.13936238,0.072509497,1.5109086040000002,61.3,africa
Somalia,93,5.151000023,0.022643184,0.721151352,0.113989137,0.602126956,0.291631311,0.282410324,3.11748457,79.9,africa
Algeria,53,5.872000217,1.091864467,1.146217465,0.6175846460000001,0.233335808,0.069436647,0.14609611,2.567603827,68.6,africa
Libya,68,5.525000095,1.101803064,1.35756433,0.52016902,0.46573323,0.152073666,0.09261021,1.835011244,75.8,africa
Burundi,154,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.204435185,0.084147945,1.6830241680000002,54.3,africa
Tanzania,153,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.35425636200000005,0.066035107,0.621130466,57.8,africa
Chad,137,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,0.053581882,2.071238041,67.9,africa
Congo (Brazzaville),124,4.290999889,0.808964252,0.832044363,0.289957434,0.435025871,0.120852128,0.07961813400000001,1.7241356369999998,60.0,africa
Togo,150,3.4949998860000004,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015,1.837229252,44.8,africa
Mali,127,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247,1.668190956,53.7,africa
Mauritius,64,5.629000187000001,1.189395547,1.20956099,0.638007462,0.491247326,0.360933751,0.042181555,1.697583914,86.0,africa
Ghana,131,4.119999886,0.6672248239999999,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637,1.5778675080000002,63.1,africa
Mozambique,113,4.5500001910000005,0.23430565,0.870701015,0.106654435,0.480791092,0.322228104,0.179436386,2.355650902,70.8,africa
Nigeria,95,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,0.026121566,2.365390539,71.1,africa
Niger,135,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946,1.873983383,71.1,africa
Zambia,116,4.513999939,0.636406779,1.003187299,0.257835895,0.461603492,0.249580145,0.07821355,1.826705456,55.2,africa
Ivory Coast,128,4.179999828,0.603048921,0.90478003,0.04864217,0.447706193,0.20123747,0.130061775,1.844964266,55.3,africa
Namibia,111,4.573999882,0.964434326,1.098470807,0.33861181100000004,0.520303547,0.077133745,0.093146972,1.481890202,85.4,africa
Uganda,133,4.0809998510000005,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.05706971900000001,1.526362658,51.0,africa
Mauritania,123,4.291999817,0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,0.136957005,1.651637316,61.7,africa
Madagascar,144,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,1.584612608,45.3,africa
Burkina Faso,134,4.032000065,0.350227714,1.043280005,0.215844259,0.32436785100000004,0.250864685,0.120328106,1.727212906,56.2,africa
Guinea,149,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618,1.5523118969999998,55.1,africa
Kenya,112,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319,1.651902199,52.0,africa
Ethiopia,119,4.460000038,0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,0.165455714,2.015743732,73.7,africa
Congo (Kinshasa),126,4.28000021,0.092102349,1.229023457,0.191407025,0.235961348,0.246455833,0.060241356,2.2249586580000003,50.2,africa
Malawi,136,3.970000029,0.233442038,0.5125688310000001,0.315089583,0.466914654,0.28717047,0.072711654,2.081786156,51.8,africa
Sudan,130,4.138999939,0.6595166920000001,1.21400857,0.290920824,0.014995855,0.182317451,0.08984752,1.68706584,56.7,africa
Tunisia,102,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,0.086723149,1.89025116,68.4,africa
Morocco,84,5.235000134,0.878114581,0.774864435,0.597710669,0.408158332,0.032209955,0.08776318300000001,2.456189394,64.8,africa
Gabon,118,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,0.076046787,1.322916269,52.5,africa
Rwanda,151,3.4709999560000004,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,0.540061235,51.7,africa
Liberia,148,3.532999992,0.119041793,0.8721179370000001,0.229918197,0.332881182,0.266549885,0.038948249,1.673285961,56.6,africa
Benin,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,1.885630965,49.3,africa
Sierra Leone,106,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176,2.668459892,59.2,africa
