Country,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Generosity,Corruption,Dystopia,Job Satisfaction,Region
Iran,108,4.691999912,1.156873107,0.7115512490000001,0.639333189,0.249322608,0.387242913,0.048761073,1.498734951,70.3,asia_pacific
New Zealand,8,7.31400013,1.405706048,1.548195124,0.8167597059999999,0.61406213,0.500005126,0.382816702,2.046456337,88.6,asia_pacific
Lebanon,88,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383,1.695073843,72.3,asia_pacific
Tajikistan,96,5.040999889,0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,0.146377146,1.84904933,81.3,asia_pacific
Azerbaijan,85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507,1.762481689,69.8,asia_pacific
Malaysia,42,6.084000111,1.29121542,1.284646034,0.618784428,0.4022649820000001,0.41660893,0.065600708,2.004448891,85.0,asia_pacific
Qatar,35,6.375,1.870765686,1.27429688,0.710098088,0.604130983,0.33047387,0.439299256,1.14546442,87.8,asia_pacific
Myanmar,114,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.8380751609999999,0.188816205,1.115290403,72.0,asia_pacific
"Hong Kong S.A.R., China",71,5.472000122000001,1.551674843,1.262790918,0.943062425,0.490968645,0.374465793,0.293933749,0.554633141,81.5,asia_pacific
India,122,4.315000057,0.7922212479999999,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885,1.519117117,71.5,asia_pacific
Kuwait,39,6.1050000189999984,1.6329524519999998,1.259698749,0.632105708,0.496337593,0.228289798,0.21515955,1.640425205,87.4,asia_pacific
Cambodia,129,4.168000221000002,0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,0.068105951,1.042941093,78.9,asia_pacific
Vietnam,94,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,0.08763323699999999,1.462318659,80.0,asia_pacific
Mongolia,100,4.954999924,1.0272358659999998,1.493011236,0.557783484,0.394143969,0.33846423,0.032902289,1.111292362,82.2,asia_pacific
Afghanistan,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,2.150801182,80.0,asia_pacific
Syria,152,3.461999893,0.7771531340000001,0.3961026070000001,0.500533342,0.081539445,0.493663728,0.151347131,1.061573505,62.7,asia_pacific
Uzbekistan,47,5.971000195,0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,0.246528223,1.816913605,87.0,asia_pacific
Israel,11,7.212999821,1.375382423,1.376289964,0.838404,0.405988604,0.330082655,0.0852421,2.801757336,82.1,asia_pacific
Nepal,99,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,0.072975546,1.891241074,83.3,asia_pacific
Pakistan,80,5.269000053,0.7268835309999999,0.67269069,0.402047783,0.235215262,0.315446019,0.124348067,2.79248929,78.1,asia_pacific
Bangladesh,110,4.607999802,0.586682975,0.7351317409999999,0.533241034,0.478356659,0.172255352,0.123717859,1.978736162,77.7,asia_pacific
Kyrgyzstan,98,5.004000187,0.596220076,1.394238591,0.5534577970000001,0.454943389,0.428580374,0.039439179,1.536723137,76.0,asia_pacific
Japan,51,5.920000076,1.4169151780000002,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,1.363223553,74.0,asia_pacific
United Arab Emirates,21,6.647999763,1.626343369,1.266410232,0.7267982359999999,0.60834527,0.360941947,0.324489564,1.734703541,79.8,asia_pacific
Palestinian Territories,103,4.775000095,0.716249228,1.155647159,0.565666974,0.254711062,0.114173174,0.08928260199999999,1.878890276,69.3,asia_pacific
Iraq,117,4.497000217,1.102710485,0.978613198,0.50118047,0.28855553300000003,0.199637264,0.107215755,1.318907261,72.0,asia_pacific
Georgia,125,4.285999775,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635,1.500137806,55.9,asia_pacific
Armenia,121,4.375999928,0.900596738,1.0074837209999998,0.637524426,0.198303267,0.083488092,0.026674422000000003,1.5214991569999998,50.7,asia_pacific
South Korea,55,5.837999821,1.4016784430000002,1.128274441,0.9002140759999999,0.257921666,0.206674367,0.063282669,1.880378008,74.0,asia_pacific
