Country,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Generosity,Corruption,Dystopia,Job Satisfaction,Region
Cyprus,65,5.620999812999999,1.3559380769999998,1.131363273,0.8447147009999999,0.355111539,0.27125430100000003,0.041237976,1.621249199,88.7,east_europe
Poland,46,5.97300005,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,0.059307806,1.7977228159999998,86.9,east_europe
Moldova,56,5.837999821,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,0.010091286,2.807808399,70.0,east_europe
Slovenia,62,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,0.045128979000000013,1.3133172990000002,88.5,east_europe
Bulgaria,105,4.714000225,1.161459088,1.4343794580000002,0.70821768,0.289231718,0.113177694,0.011051531000000002,0.996139288,74.9,east_europe
Hungary,75,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937,1.716459274,82.4,east_europe
Serbia,73,5.3949999810000016,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781,1.947084427,68.5,east_europe
Lithuania,52,5.90199995,1.314582348,1.4735161069999998,0.62894994,0.234231785,0.010164657,0.011865643,2.228440523,79.4,east_europe
Estonia,66,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922,1.357508659,77.8,east_europe
Latvia,54,5.849999905,1.260748625,1.4047149419999998,0.638566971,0.325707912,0.153074786,0.073842727,1.993655205,82.1,east_europe
Kosovo,78,5.278999805,0.951484382,1.137853503,0.54145205,0.260287941,0.319931448,0.057471618,2.010540724,84.7,east_europe
Macedonia,92,5.1750001910000005,1.064577937,1.2078930140000002,0.644948184,0.325905979,0.253760964,0.060277794,1.617469311,70.6,east_europe
Albania,109,4.644000053,0.996192753,0.803685248,0.7311597470000001,0.381498635,0.201312944,0.039864216,1.490441561,73.3,east_europe
Slovakia,40,6.09800005,1.325393558,1.505059242,0.7127329109999999,0.295817465,0.136544481,0.024210852,2.097776651,81.4,east_europe
Romania,57,5.824999809,1.217683911,1.15009129,0.685158312,0.4570037420000001,0.13351991800000002,0.004387901,2.176831484,75.1,east_europe
Croatia,77,5.293000221000001,1.222556233,0.967983007,0.7012885209999999,0.255772293,0.248002976,0.04310311,1.854492426,77.1,east_europe
Belarus,67,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,0.156313822,1.723232985,71.6,east_europe
Montenegro,83,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194,1.729191542,69.7,east_europe
Russia,49,5.962999821,1.281778097,1.469282389,0.547349334,0.373783112,0.052263822,0.032962881,2.205607414,74.6,east_europe
