Country,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Generosity,Corruption,Dystopia,Job Satisfaction,Region
Malta,27,6.52699995,1.343279839,1.488411665,0.8219442370000001,0.588767052,0.574730575,0.153066069,1.556862831,85.2,west_europe
Sweden,9,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,2.097537994,92.7,west_europe
Belgium,17,6.890999794,1.463780761,1.462312698,0.8180918690000001,0.539770722,0.231503338,0.251343131,2.124210358,91.1,west_europe
Czech Republic,23,6.609000206,1.352682352,1.4338852169999998,0.7544440029999999,0.490946174,0.088106759,0.036872927,2.451861858,79.8,west_europe
United Kingdom,19,6.714000225,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524,87.4,west_europe
France,31,6.441999912000001,1.430923462,1.3877768519999998,0.844465852,0.470222116,0.129762307,0.172502428,2.005954742,86.0,west_europe
Iceland,3,7.504000187000001,1.48063302,1.610574007,0.8335521220000001,0.627162635,0.475540221,0.153526559,2.322715282,94.5,west_europe
Germany,16,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,2.015769958,90.4,west_europe
Switzerland,4,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,2.276716232,93.7,west_europe
Austria,13,7.006000042,1.487097263,1.459944963,0.8153284190000001,0.56776619,0.316472322,0.221060365,2.138506413,95.1,west_europe
Italy,48,5.964000225,1.395066619,1.444923282,0.8531443479999999,0.256450713,0.17278964800000002,0.028028091,1.813312054,85.5,west_europe
Denmark,2,7.521999836,1.4823830130000002,1.5511215930000002,0.792565525,0.6260067220000001,0.355280489,0.400770068,2.313707352,93.5,west_europe
Finland,5,7.468999863,1.443571925,1.540246725,0.80915767,0.6179508570000001,0.245482773,0.382611543,2.430181503,91.2,west_europe
Luxembourg,18,6.8629999160000015,1.7419435980000002,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424,1.619512081,93.4,west_europe
Netherlands,6,7.376999855,1.503944635,1.4289392230000002,0.810696125,0.585384488,0.47048983,0.282661825,2.294804096,93.8,west_europe
Norway,1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,2.277026653,94.6,west_europe
Spain,34,6.402999877999999,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,0.070914097,1.92775774,88.1,west_europe
Ireland,15,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153,1.7738690380000002,91.5,west_europe
Portugal,89,5.195000172,1.315175295,1.3670430180000002,0.7958435420000001,0.4984653,0.095102713,0.015869452,1.107682705,88.4,west_europe
